authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Macours,2012,2005,RCT,"Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",Y,,Macours_2012,,Y,,Cash Transfer,Conditional,Nicaragua,1,mothers of vulnerable households,100%,,41.56258,1874,916,958,,"US $ 145 if they had no children or only children younger than 7. In addition, households with children between 7 and 15 enrolled in primary school received US $ 90 per household, and a further US $ 25 per child.",CES DEpression scale,Depression,1,0,1,252.25,,,,,,,,24,,0,Y,,0,,-0.039,0.785,13.608,10.639,,,,,,,,,,,,,,,,,,"Conditional on paper, but not enforced",Do file,Table 8,Do file,Do file,Page 252 and 253
Macours,2012,2005,RCT,"Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",Y,,Macours_2012,,Y,,Cash Transfer,Conditional,Nicaragua,1,mothers of vulnerable households,100%,,41.56258,1327,659,668,,"US $ 145 if they had no children or only children younger than 7. In addition, households with children between 7 and 15 enrolled in primary school received US $ 90 per household, and a further US $ 25 per child.",HOME Scale,Happiness or Satisfaction,1,0,1,252.25,,,,,,,,9,,0,N,,0,,-0.204,0.308,3.979,2.671,,,,,,,,,,,,,,,,,,"Conditional on paper, but not enforced",Do file,Table 8,Do file,Do file,Page 252 and 253
Macours,2012,2005,RCT,"Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",Y,,Macours_2012,,Y,,Cash Transfer,Conditional,Nicaragua,1,mothers of vulnerable households,100%,,41.56258,1857,911,946,,"US $ 145 if they had no children or only children younger than 7. In addition, households with children between 7 and 15 enrolled in primary school received US $ 90 per household, and a further US $ 25 per child.",HOME Scale,Happiness or Satisfaction,1,0,1,252.25,,,,,,,,24,,0,N,,0,,-0.128,0.135,4.014,2.177,,,,,,,,,,,,,,,,,,"Conditional on paper, but not enforced",Do file,Table 8,Do file,Do file,Page 252 and 253
Macours,2012,2005,RCT,"Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",Y,,Macours_2012,,Y,,Cash Transfer,Conditional,Nicaragua,1,mothers of vulnerable households,100%,,41.56258,1439,752,687,,"US $ 145 if they had no children or only children younger than 7. In addition, households with children between 7 and 15 enrolled in primary school received US $ 90 per household, and a further US $ 25 per child. + Scholarship",,,,,1,252.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conditional on paper, but not enforced",,,,,
Macours,2012,2005,RCT,"Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",Y,,Macours_2012,,Y,,Cash Transfer,Conditional,Nicaragua,1,mothers of vulnerable households,100%,,41.56258,1403,716,687,,"US $ 145 if they had no children or only children younger than 7. In addition, households with children between 7 and 15 enrolled in primary school received US $ 90 per household, and a further US $ 25 per child. ivi+ lumpsum for agricultural activity. Households received US $175 at the end of May, and an additional US $25 in September, conditional on having
started the nonagricultural activity that was planned.",,,,,1,452.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conditional on paper, but not enforced",,,,,
Oswald,2019,2015,,Happy lottery and LT Bias,Y,,Oswald_2019,,Y,,Lottery,,Singapore,0,lottery players,53%,,59.82,5626,1264,4362,,average winning is S$ 353,Life satisfaction,Happiness or Satisfaction,0,0,1,254.16,,,,,,,,12,,0,N,,0,2.067,0.007,0.004,3.57,0.77,,,,,,,,,,,,,,,,,,Using mean and sd of non-players as controls,Table 1 - Non Players column and % winning of players,Table 2,Table 1 - Non Players column,Table 1,Table 1
Oswald,2019,2015,,Happy lottery and LT Bias,Y,,Oswald_2019,,Y,,Lottery,,Singapore,0,lottery players,53%,,59.82,5472,1264,4362,,average winning is S$ 353,Happiness,Happiness or Satisfaction,0,0,1,254.16,,,,,,,,12,,0,N,,0,2.952,0.015,0.005,3.92,1.04,,,,,,,,,,,,,,,,,,Using mean and sd of non-players as controls,Table 1 - Non Players column and % winning of players,Table 2,Table 1 - Non Players column,Table 1,Table 1
Molotskya,2020,2013,RCT,The Psychology of Poverty: Evidence from the Field,Y,,Molotskya_2020,,Y,,Cash Transfer,Unconditional,Malawi,1,vulnerable households,88%,,56.89,7551,3624,3927,,"bimonthly payments. By endline, the average monthly per capita transfer amount
received by beneficiary households was equivalent to US$1.25 a month or about US$60 per
household annually",Low Stress Index (scale-1-4),Stress,0,0,0,120,,,,,,5,24,24,Combined Follow up waves,0,N,,0,,1.22,0.54,6.619,3.073,8.08,,6.12,,,,,,5.89,,,,,,,,,,Do file,Table 4,Do file,Table 1,Page 3 paragraph 2
Molotskya,2020,2013,RCT,The Psychology of Poverty: Evidence from the Field,Y,,Molotskya_2020,,Y,,Cash Transfer,Unconditional,Malawi,1,vulnerable households,88%,,56.89,7551,3624,3927,,"bimonthly payments. By endline, the average monthly per capita transfer amount
received by beneficiary households was equivalent to US$1.25 a month or about US$60 per
household annually",Generally feels happy,Happiness or Satisfaction,0,0,0,120,,,,,,5,24,24,Combined Follow up waves,0,N,,0,,0.186,0.04,0.195,0.396,,,,,,,,,,,,,,,,,,,Do file,Table 4,Do file,Table 1,Page 3 paragraph 2
Molotskya,2020,2013,RCT,The Psychology of Poverty: Evidence from the Field,Y,,Molotskya_2020,,Y,,Cash Transfer,Unconditional,Malawi,1,vulnerable households,88%,,56.89,7551,3624,3927,,"bimonthly payments. By endline, the average monthly per capita transfer amount
received by beneficiary households was equivalent to US$1.25 a month or about US$60 per
household annually",Quality of life scale,Happiness or Satisfaction,0,0,0,120,,,,,,5,24,24,Combined Follow up waves,0,N,,0,,0.462,0.11,2.445,0.754,,,,,,,,,,,,,,,,,,,Do file,Table 4,Do file,Table 1,Page 3 paragraph 2
Molotskya,2020,2013,RCT,The Psychology of Poverty: Evidence from the Field,Y,,Molotskya_2020,,Y,,Cash Transfer,Unconditional,Malawi,1,vulnerable households,88%,,56.89,7551,3624,3927,,"bimonthly payments. By endline, the average monthly per capita transfer amount
received by beneficiary households was equivalent to US$1.25 a month or about US$60 per
household annually",psychological index,Happiness or Satisfaction,0,0,0,120,,,,,,5,24,24,Combined Follow up waves,1,N,,0,,0.467,0.09,-0.214,0.594,,,,,,,,,,,,,,,,,,,Do file,Table 4,Do file,Table 1,Page 3 paragraph 2
Fernald et. al,2011,2004,RA,Effect of Ecuador’s cash transfer program (Bono de Desarrollo Humano) on child development in infants and toddlers: A,Y,,fernald2011,,Y,,Cash Transfer,Unconditional,Ecuador,1,mothers of vulnerable households,100%,,22.6,1196,797,399,,,depressive symptoms score (0e60 scale),Depression,1,0,0,360,,,,,,15,24,24,2 years,0,Y,,0,,0.71,0.786,,,,,19.6,11.1,,,,,18.9,10.6,,,,,,,,"Conditional on paper, but not enforced",Abstract,Table 4,,Table 2,Page 1438 last paragraph
Ozer,2011,2003,Match,Does alleviating poverty affect mothers’ depressive symptoms? A quasi-experimental investigation of Mexico’s Oportunidades programm,Y,,ozer_2011,,Y,,Cash Transfer,Conditional,Mexico,1,mothers of vulnerable households,100%,,36.9,6343,5050,1293,,,Full depression scale,Depression,1,0,0,2193,,,,,,43,51,51,,0,Y,,0,,-1.71,0.383,18.17,10.2,,,,,,,,,,,,,,,,,,,Figure 2,Table 2,Table 2,Table 1,
Ozer,2008,2003,Match,Effects of a Conditional Cash Transfer Program on Children's Behavior Problems,Y,,ozer_2009,,Y,,Cash Transfer,Conditional,Mexico,1,children of vulnerable households,49%,,5.158,945,702,243,,,Behavior Problems Index - Anxiety,Anxiety,1,0,0,2193,,,,,,43,51,51,,0,N,,0,,-0.23,0.21,4.41,2.45,4.18,2.48,,,,,,,,,,,,,,,,,Figure 1,Table 2,Table 2,Table 2,
Ozer,2008,2003,Match,Effects of a Conditional Cash Transfer Program on Children's Behavior Problems,Y,,ozer_2009,,Y,,Cash Transfer,Conditional,Mexico,1,children of vulnerable households,49%,,5.158,945,702,243,,,Behavior Problems Index -Aggresiveness,Other,1,0,0,2193,,,,,,43,51,51,,0,N,,0,,-0.45,0.17,4.41,2.42,3.96,2.4,,,,,,,,,,,,,,,,,Figure 1,Table 2,Table 2,Table 2,
Ozer,2008,2003,Match,Effects of a Conditional Cash Transfer Program on Children's Behavior Problems,Y,,ozer_2009,,Y,,Cash Transfer,Conditional,Mexico,1,children of vulnerable households,49%,,5.158,945,702,243,,,Behavior Problems Index,Other,1,0,0,2193,,,,,,43,51,51,,1,N,,0,,-0.67,0.37,8.81,4.2,8.14,4.27,,,,,,,,,,,,,,,,,Figure 1,Table 2,Table 2,Table 2,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,subjetive well-being,Depression,0,0,0,1104,,,,,,92,12,12,,0,N,,1,,0.48,0.03,0,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,depressive symptoms score,Depression,1,0,0,1104,,,,,,92,12,12,,0,N,,0,,-0.04,0.01,0.58,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,Satisfaction with quality of life,Happiness or Satisfaction,0,0,0,1104,,,,,,92,12,12,,0,N,,0,,0.05,0.01,0.82,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,Self worth,Self-Esteem,0,0,0,1104,,,,,,92,12,12,,0,N,,0,,0.1,0.01,0.49,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,Empowerment,Other,0,0,0,1104,,,,,,92,12,12,,0,N,,0,,0.12,0.02,0.7,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,Contribution,Other,0,0,0,1104,,,,,,92,12,12,,0,N,,0,,0.45,0.03,0.52,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Bando,2021,2017,RCT,Another brick on the Wall: On the Effects of Non-Contributory Pensions on Material and Subjective Well Being,Y,,bando_2021,,Y,,Cash Transfer,Unconditional,Paraguay,1,people 65 year old or older which live under the poverty line,53%,65 or older,72,1939,,,,,Memory,Other,0,0,0,1104,,,,,,92,12,12,,0,N,,0,,0.24,0.09,11.78,,,,,,,,,,,,,,,,,,,,,Table 3,,Table 1,
Alzua et al.,2021,2013,RCT,Mental Health Effects of an Old Age Pension: Experimental Evidence for Ekiti State in Nigeria,Y,,Alzua_2020,Y,,Y,Cash Transfer,Unconditional,Nigeria,1,poor households with beneficiaries 65+,69%,65+,78,6059,3071,2988,,monthly UCT of USD 32 over 1 year,"depression (Geriatric Depression Scale), 6 months",Depression,1,,0,192,per_month,192,,,,32,6,6,6 months,0,Y,,0,,-0.146,0.071,9.18,1.912,,,,,,,,,,,,,,,"life satisfaction, community participation, risky behavior, labor force participation, household income/composition",N,,,Appendix Table B,Table 2,Table 2,Table B.2,"Page 1, paragraph 2"
Alzua et al.,2021,2013,RCT,Mental Health Effects of an Old Age Pension: Experimental Evidence for Ekiti State in Nigeria,Y,,Alzua_2020,Y,,Y,Cash Transfer,Unconditional,Nigeria,1,poor households with beneficiaries 65+,69%,65+,78,6059,3071,2988,,monthly UCT of USD 32 over 1 year,"depression (Geriatric Depression Scale), 12 months",Depression,1,,0,384,per_month,384,,,,32,12,12,1 year,0,Y,,0,,-0.067,0.084,8.9,2.354,,,,,,,,,,,,,,,"life satisfaction, community participation, risky behavior, labor force participation, household income/composition",N,,,Appendix Table B,Table 2,Table 2,Table B.2,"Page 1, paragraph 2"
Alzua et al.,2021,2013,RCT,Mental Health Effects of an Old Age Pension: Experimental Evidence for Ekiti State in Nigeria,Y,,Alzua_2020,Y,,Y,Cash Transfer,Unconditional,Nigeria,1,poor households with beneficiaries 65+,69%,65+,78,6059,3071,2988,,monthly UCT of USD 32 over 1 year,"life satisfaction, 6 months",Happiness or Satisfaction,0,,0,192,per_month,192,,,,32,6,6,6 months,0,N,,0,,0.243,0.091,6.438,2.619,,,,,,,,,,,,,,,"life satisfaction, community participation, risky behavior, labor force participation, household income/composition",N,,,Appendix Table B,Table 2,Table 2,Table B.2,"Page 1, paragraph 2"
Alzua et al.,2021,2013,RCT,Mental Health Effects of an Old Age Pension: Experimental Evidence for Ekiti State in Nigeria,Y,,Alzua_2020,Y,,Y,Cash Transfer,Unconditional,Nigeria,1,poor households with beneficiaries 65+,69%,65+,78,6059,3071,2988,,monthly UCT of USD 32 over 1 year,"life satisfaction, 12 months",Happiness or Satisfaction,0,,0,384,per_month,384,,,,32,12,12,1 year,0,N,,0,,0.278,0.09,6.218,3.067,,,,,,,,,,,,,,,"life satisfaction, community participation, risky behavior, labor force participation, household income/composition",N,,,Appendix Table B,Table 2,Table 2,Table B.2,"Page 1, paragraph 2"
Blattman et al.,2017,2009,RCT,Reducing Crime and Violence: Experimental Evidence from Cognitive Behavioral Therapy in Liberia,Y,,Blattman_17,,Y,Y,Cash Transfer,Unconditional,Liberia,1,high risk men from 18-35,0%,18 to 35,25.4,470,250,220,Blattman_17,,Positive self-regard and mental health,Self-Esteem,0,,1,200,lumpsum,200,,,,,,0.75,2-5 weeks,1,N,,0,,0.137,0.093,-0.168,0.921,,,,,,,,,,,,,,,,,200 dollars of cash lottery. cost of delivering is higher because of administrative costs.,,"From data in blattman_17_data/data/STYL_label.dta treatment: distinct partid if cashassonly==1, control : distinct partid if control==1. Is assignment sample.","Table VI, Column 6 (ITT Cash Only), Panel A","control mean Table VI, SD from stata (I modified table AER do files to estimate SD, saved on excel in blattman_17_data/AER_2/ITT tables_sd.xlsx)",Table I.,"Page 1166, paragraph 4."
Blattman et al.,2017,2009,RCT,Reducing Crime and Violence: Experimental Evidence from Cognitive Behavioral Therapy in Liberia,Y,,Blattman_17,,Y,Y,Cash Transfer,Unconditional,Liberia,1,high risk men from 18-35,0%,18 to 35,25.4,470,250,220,Blattman_17,,Positive self-regard and mental health,Self-Esteem,0,,1,200,lumpsum,200,,,,,,12.5,12-13 months,1,N,,0,,-0.034,0.091,-0.05,0.962,,,,,,,,,,,,,,,,,200 dollars of cash lottery. cost of delivering is higher because of administrative costs.,,"From data in blattman_17_data/data/STYL_label.dta treatment: distinct partid if cashassonly==1, control : distinct partid if control==1. Is assignment sample.","Table VI, Column 6 (ITT Cash Only), Panel B","control mean Table VI, SD from stata (I modified table AER do files to estimate SD, saved on excel in blattman_17_data/AER_2/ITT tables_sd.xlsx)",Table I.,"Page 1166, paragraph 4."
Blattman et al.,2017,2009,RCT,Reducing Crime and Violence: Experimental Evidence from Cognitive Behavioral Therapy in Liberia,Y,,Blattman_17,,Y,Y,Cash Transfer,Unconditional,Liberia,1,high risk men from 18-35,0%,18 to 35,25.4,470,250,220,Blattman_17,,Depression and distress,Depression,1,,1,200,lumpsum,200,,,,,,0.75,2-5 weeks,0,Y,,0,,-0.063,0.104,0.095,0.96,,,,,,,,,,,,,,,,,200 dollars of cash lottery. cost of delivering is higher because of administrative costs.,,"From data in blattman_17_data/data/STYL_label.dta treatment: distinct partid if cashassonly==1, control : distinct partid if control==1. Is assignment sample.","Table VI, Column 6 (ITT Cash Only), Panel A","control mean Table VI, SD from stata (I modified table AER do files to estimate SD, saved on excel in blattman_17_data/AER_2/ITT tables_sd.xlsx)",Table I.,"Page 1166, paragraph 4."
Blattman et al.,2017,2009,RCT,Reducing Crime and Violence: Experimental Evidence from Cognitive Behavioral Therapy in Liberia,Y,,Blattman_17,,Y,Y,Cash Transfer,Unconditional,Liberia,1,high risk men from 18-35,0%,18 to 35,25.4,470,250,220,Blattman_17,,Depression and distress,Depression,1,,1,200,lumpsum,200,,,,,,12.5,12-13 months,0,Y,,0,,0.021,0.094,0.022,0.967,,,,,,,,,,,,,,,,,200 dollars of cash lottery. cost of delivering is higher because of administrative costs.,,"From data in blattman_17_data/data/STYL_label.dta treatment: distinct partid if cashassonly==1, control : distinct partid if control==1. Is assignment sample.","Table VI, Column 6 (ITT Cash Only), Panel B","control mean Table VI, SD from stata (I modified table AER do files to estimate SD, saved on excel in blattman_17_data/AER_2/ITT tables_sd.xlsx)",Table I.,"Page 1166, paragraph 4."
Courtin et al.,2018,2007,RCT,Conditional Cash Transfers And Health Of Low-Income Families In The US: Evaluating The Family Rewards Experiment.,Y,,Courtin_18,Y,,Y,Cash Transfer,Conditional,USA,0,low-income families,94.57%,"Adults, average age 39",38.85,3082,1541,1541,,conditional cash transfer,hope (State of Hope Scale),Optimism,0,,0,8674,,,,,,,,18,18 months,0,N,,0,1.241,0.19,0.153,17.3,,17.48,,,,,,,,,,,,,,,,,,,,,,
Courtin et al.,2018,2007,RCT,Conditional Cash Transfers And Health Of Low-Income Families In The US: Evaluating The Family Rewards Experiment.,Y,,Courtin_18,Y,,Y,Cash Transfer,Conditional,USA,0,low-income families,94.57%,"Adults, average age 39",38.85,2966,1483,1483,,conditional cash transfer,hope (State of Hope Scale),Optimism,0,,0,8674,,,,,,,,42,42 months,0,N,,0,3.332,0.51,0.153,17.51,,17.98,,,,,,,,,,,,,,,,,,,,,,
Courtin et al.,2018,2007,RCT,Conditional Cash Transfers And Health Of Low-Income Families In The US: Evaluating The Family Rewards Experiment.,Y,,Courtin_18,Y,,Y,Cash Transfer,Conditional,USA,0,low-income families,94.57%,"Adults, average age 39",38.85,3082,1541,1541,,conditional cash transfer,psychological distress past month (%),Stress,1,,0,8674,,,,,,,,18,18 months,0,N,,0,-0.003,-0.004,1.276,13.63,,13.55,,,,,,,,,,,,,,,,,,,,,,
Courtin et al.,2018,2007,RCT,Conditional Cash Transfers And Health Of Low-Income Families In The US: Evaluating The Family Rewards Experiment.,Y,,Courtin_18,Y,,Y,Cash Transfer,Conditional,USA,0,low-income families,94.57%,"Adults, average age 39",38.85,2966,1483,1483,,conditional cash transfer,psychological distress past month (%),Stress,1,,0,8674,,,,,,,,42,42 months,0,N,,0,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtin et al.,2018,2007,RCT,Conditional Cash Transfers And Health Of Low-Income Families In The US: Evaluating The Family Rewards Experiment.,Y,,Courtin_18,Y,,Y,Cash Transfer,Conditional,USA,0,low-income families,94.57%,"Adults, average age 39",38.85,3082,1541,1541,,conditional cash transfer,psychological distress symptoms (K10),Stress,1,,0,8674,,,,,,,,18,18 months,0,N,,0,-1.481,-0.68,0.459,19.75,,19.17,,,,,,,,,,,,,,,,,,,,,,
